Time (min),Volume of Mixture (ml),Viable Cells (10^6 cells/ml),mAb Concentration (mg/l),Glucose Concentration (g/l),Lactate Concentration (g/l),Viability (%)
0,5650,0.7,0,6.05,0.12,99
1,5650,0.700400221,0.00846312689561,6.04972530256,0.120188714629,98.9998588264
2,5650,0.700800645811,0.0169310923829,6.04945046026,0.120377520636,98.9997176986
3,5650,0.701201274509,0.0254038989257,6.04917547303,0.12056641805,98.9995766164
4,5650,0.701602107168,0.0338815489888,6.04890034082,0.120755406898,98.9994355799
5,5650,0.702003143866,0.0423640450379,6.04862506357,0.120944487208,98.9992945889
6,5650,0.702404384678,0.0508513895396,6.04834964122,0.121133659009,98.9991536435
7,5650,0.702805829679,0.0593435849614,6.04807407371,0.121322922328,98.9990127435
8,5650,0.703207478945,0.0678406337717,6.04779836097,0.121512277193,98.998871889
9,5650,0.703609332552,0.07634253844,6.04752250295,0.121701723632,98.9987310798
10,5650,0.704011390575,0.0848493014365,6.04724649959,0.121891261674,98.998590316
11,5650,0.704413653091,0.0933609252323,6.04697035082,0.122080891346,98.9984495974
12,5650,0.704816120175,0.1018774123,6.04669405659,0.122270612676,98.998308924
13,5650,0.705218791903,0.110398765111,6.04641761684,0.122460425692,98.9981682957
14,5650,0.70562166835,0.118924986141,6.0461410315,0.122650330422,98.9980277126
15,5650,0.706024749592,0.127456077865,6.04586430052,0.122840326894,98.9978871744
16,5650,0.706428035705,0.135992042757,6.04558742383,0.123030415136,98.9977466813
17,5650,0.706831526765,0.144532883295,6.04531040139,0.123220595175,98.9976062331
18,5650,0.707235222847,0.153078601957,6.04503323311,0.12341086704,98.9974658298
19,5650,0.707639124027,0.16162920122,6.04475591896,0.123601230759,98.9973254714
20,5650,0.708043230381,0.170184683564,6.04447845885,0.123791686358,98.9971851577
21,5650,0.708447541983,0.17874505147,6.04420085274,0.123982233867,98.9970448887
22,5650,0.708852058911,0.187310307418,6.04392310057,0.124172873313,98.9969046644
23,5650,0.70925678124,0.195880453891,6.04364520227,0.124363604723,98.9967644848
24,5650,0.709661709044,0.204455493373,6.04336715779,0.124554428126,98.9966243496
25,5650,0.710066842401,0.213035428346,6.04308896706,0.124745343549,98.996484259
26,5650,0.710472181385,0.221620261297,6.04281063002,0.124936351021,98.9963442129
27,5650,0.710877726072,0.23020999471,6.04253214662,0.125127450568,98.9962042112
28,5650,0.711283476539,0.238804631072,6.04225351679,0.12531864222,98.9960642538
29,5650,0.71168943286,0.247404172872,6.04197474047,0.125509926002,98.9959243407
30,5650,0.712095595111,0.256008622597,6.04169581761,0.125701301944,98.9957844719
31,5650,0.712501963368,0.264617982737,6.04141674814,0.125892770073,98.9956446473
32,5650,0.712908537706,0.273232255783,6.041137532,0.126084330416,98.9955048668
33,5650,0.713315318202,0.281851444225,6.04085816913,0.126275983002,98.9953651304
34,5650,0.71372230493,0.290475550557,6.04057865947,0.126467727858,98.995225438
35,5650,0.714129497966,0.299104577271,6.04029900297,0.126659565012,98.9950857896
36,5650,0.714536897387,0.307738526861,6.04001919956,0.126851494491,98.9949461851
37,5650,0.714944503266,0.316377401822,6.03973924917,0.127043516323,98.9948066246
38,5650,0.715352315681,0.32502120465,6.03945915176,0.127235630536,98.9946671078
39,5650,0.715760334707,0.333669937843,6.03917890726,0.127427837157,98.9945276348
40,5650,0.716168560419,0.342323603896,6.0388985156,0.127620136215,98.9943882056
41,5650,0.716576992893,0.35098220531,6.03861797674,0.127812527736,98.99424882
42,5650,0.716985632204,0.359645744584,6.0383372906,0.128005011749,98.994109478
43,5650,0.717394478429,0.368314224217,6.03805645713,0.12819758828,98.9939701795
44,5650,0.717803531642,0.376987646712,6.03777547628,0.128390257358,98.9938309246
45,5650,0.718212791919,0.385666014571,6.03749434796,0.128583019009,98.9936917132
46,5650,0.718622259336,0.394349330297,6.03721307214,0.128775873263,98.9935525451
47,5650,0.719031933969,0.403037596394,6.03693164874,0.128968820145,98.9934134204
48,5650,0.719441815892,0.411730815367,6.03665007771,0.129161859685,98.993274339
49,5650,0.719851905181,0.420428989721,6.03636835899,0.129354991908,98.9931353008
50,5650,0.720262201913,0.429132121965,6.03608649251,0.129548216844,98.9929963059
51,5650,0.720672706162,0.437840214605,6.03580447822,0.129741534518,98.992857354
52,5650,0.721083418004,0.44655327015,6.03552231605,0.12993494496,98.9927184453
53,5650,0.721494337514,0.45527129111,6.03524000595,0.130128448195,98.9925795796
54,5650,0.721905464769,0.463994279996,6.03495754785,0.130322044252,98.9924407569
55,5650,0.722316799843,0.472722239318,6.03467494169,0.130515733159,98.9923019771
56,5650,0.722728342812,0.481455171589,6.03439218742,0.130709514942,98.9921632402
57,5650,0.723140093752,0.490193079322,6.03410928497,0.130903389629,98.9920245461
58,5650,0.723552052738,0.498935965031,6.03382623428,0.131097357248,98.9918858947
59,5650,0.723964219845,0.507683831232,6.0335430353,0.131291417825,98.9917472862
60,5650,0.724376595149,0.51643668044,6.03325968796,0.131485571389,98.9916087202
61,5650,0.724789178726,0.525194515173,6.03297619219,0.131679817967,98.9914701969
62,5650,0.725201970651,0.533957337947,6.03269254795,0.131874157585,98.9913317162
63,5650,0.725614970999,0.542725151282,6.03240875517,0.132068590272,98.991193278
64,5650,0.726028179846,0.551497957698,6.03212481379,0.132263116055,98.9910548822
65,5650,0.726441597268,0.560275759714,6.03184072374,0.132457734961,98.9909165288
66,5650,0.726855223339,0.569058559853,6.03155648498,0.132652447017,98.9907782178
67,5650,0.727269058136,0.577846360636,6.03127209743,0.132847252252,98.9906399491
68,5650,0.727683101733,0.586639164587,6.03098756104,0.133042150691,98.9905017227
69,5650,0.728097354206,0.59543697423,6.03070287575,0.133237142362,98.9903635384
70,5650,0.728511815631,0.60423979209,6.0304180415,0.133432227294,98.9902253963
71,5650,0.728926486083,0.613047620693,6.03013305822,0.133627405512,98.9900872963
72,5650,0.729341365637,0.621860462566,6.02984792585,0.133822677044,98.9899492383
73,5650,0.729756454369,0.630678320237,6.02956264435,0.134018041918,98.9898112224
74,5650,0.730171752354,0.639501196235,6.02927721363,0.134213500161,98.9896732483
75,5650,0.730587259668,0.648329093089,6.02899163365,0.134409051799,98.9895353162
76,5650,0.731002976385,0.65716201333,6.02870590434,0.13460469686,98.9893974259
77,5650,0.731418902582,0.665999959488,6.02842002565,0.134800435372,98.9892595774
