epoch,train_mse_mg2_L2,validation_mse_mg2_L2
1.000000000000000000e+00,4.876365490918910695e+00,3.239684101173184172e-01
2.000000000000000000e+00,4.481717537888704750e-01,3.104144059635773334e-01
3.000000000000000000e+00,1.542503366137064069e-01,9.883997033863740900e-02
4.000000000000000000e+00,9.005662096210724499e-02,9.227012521868718786e-02
5.000000000000000000e+00,5.703336708934213239e-02,7.931678976263652203e-02
6.000000000000000000e+00,4.089654970432622660e-02,6.120771266798365889e-02
7.000000000000000000e+00,3.019056291968925249e-02,5.677895223563640681e-02
8.000000000000000000e+00,2.331673766353673308e-02,4.710243902731637428e-02
9.000000000000000000e+00,1.862799356023248087e-02,4.206047464424610832e-02
1.000000000000000000e+01,1.593408549642489139e-02,4.150075972893180198e-02
1.100000000000000000e+01,1.366657182311220228e-02,3.395645339293405784e-02
1.200000000000000000e+01,1.125837194875160645e-02,3.404564013152008156e-02
1.300000000000000000e+01,9.847369795358374561e-03,2.866308975007240967e-02
1.400000000000000000e+01,8.685845270088402362e-03,2.461426649017957671e-02
1.500000000000000000e+01,8.387884157594741041e-03,2.362908882284484730e-02
1.600000000000000000e+01,8.027063089663874496e-03,2.218109255608211386e-02
1.700000000000000000e+01,7.282607635792197505e-03,2.060380665815960549e-02
1.800000000000000000e+01,6.924004757470712118e-03,1.871155467695811286e-02
1.900000000000000000e+01,6.766650602791141576e-03,1.836537343351662965e-02
2.000000000000000000e+01,6.613327645539166834e-03,1.681377885403260650e-02
2.100000000000000000e+01,6.578258603563248014e-03,1.952653454955755041e-02
2.200000000000000000e+01,7.431201394910397912e-03,1.998072524539508399e-02
2.300000000000000000e+01,6.536015129627548333e-03,1.732920783110137100e-02
2.400000000000000000e+01,5.908749482922435146e-03,1.581195726647271343e-02
2.500000000000000000e+01,5.518022937000940410e-03,1.534661872416845374e-02
2.600000000000000000e+01,5.496845141442349356e-03,1.442489482503290198e-02
2.700000000000000000e+01,5.244754215400259170e-03,1.373908161117424510e-02
2.800000000000000000e+01,5.237434711902163968e-03,1.451684645962010752e-02
2.900000000000000000e+01,5.213463443817975204e-03,1.356698071908376754e-02
3.000000000000000000e+01,5.031607570715627975e-03,1.358164121319617793e-02
3.100000000000000000e+01,4.902185268897923769e-03,1.314773997477904598e-02
3.200000000000000000e+01,4.868296950659137604e-03,1.245203640660914879e-02
3.300000000000000000e+01,5.063816525638487227e-03,1.386633327200316283e-02
3.400000000000000000e+01,4.787642906742994864e-03,1.363176734963071450e-02
3.500000000000000000e+01,4.618547280456114686e-03,1.214174823381709151e-02
3.600000000000000000e+01,4.388511333572506744e-03,1.199267392718261424e-02
3.700000000000000000e+01,4.454492187662248588e-03,1.278247420528065906e-02
3.800000000000000000e+01,4.281158560505287335e-03,1.164606922226605820e-02
3.900000000000000000e+01,4.189913570609685341e-03,1.233496170516476358e-02
4.000000000000000000e+01,4.161098179590167617e-03,1.234409835755315675e-02
4.100000000000000000e+01,4.004800896195082754e-03,1.157661955692802953e-02
4.200000000000000000e+01,3.957482417803308457e-03,1.140613218198027572e-02
4.300000000000000000e+01,3.995123831665778509e-03,1.134923363708374364e-02
4.400000000000000000e+01,3.872918009101289968e-03,1.078756108019615287e-02
4.500000000000000000e+01,3.760469827751936663e-03,1.021253907385668257e-02
4.600000000000000000e+01,3.797374928173866820e-03,1.022369088717563212e-02
4.700000000000000000e+01,3.690677373668948495e-03,1.034485243812534490e-02
4.800000000000000000e+01,3.766846015577676645e-03,1.145660740141065705e-02
4.900000000000000000e+01,3.629015021193128174e-03,1.023419907872099612e-02
5.000000000000000000e+01,3.453471837244269198e-03,9.558609434760521884e-03
5.100000000000000000e+01,3.476779070794459858e-03,1.026522680511583914e-02
5.200000000000000000e+01,3.379926843700999366e-03,9.248170521583894133e-03
5.300000000000000000e+01,3.239858942239923646e-03,9.175578117570208983e-03
5.400000000000000000e+01,3.273244126920931470e-03,9.941702238160328442e-03
5.500000000000000000e+01,3.346360550773452933e-03,8.768657424564851172e-03
5.600000000000000000e+01,3.108669099520616676e-03,9.794518136611304188e-03
5.700000000000000000e+01,2.961126361920022286e-03,8.956941090309276932e-03
5.800000000000000000e+01,2.945060994583856891e-03,9.297521138408346847e-03
5.900000000000000000e+01,2.864996961862970211e-03,9.353898042237223515e-03
6.000000000000000000e+01,2.821101946183033737e-03,9.252455713700495979e-03
6.100000000000000000e+01,2.778006943638805515e-03,8.600364710610857583e-03
6.200000000000000000e+01,2.708549608159705521e-03,9.377975843532981512e-03
6.300000000000000000e+01,2.831443710855550532e-03,8.903563126762881197e-03
