epoch,train_mse_mg2_L2,validation_mse_mg2_L2
1.000000000000000000e+00,5.302733988518526509e+00,8.168724260614086408e-01
2.000000000000000000e+00,6.881895424608576173e-01,5.010883937209343886e-01
3.000000000000000000e+00,2.985430137275738582e-01,2.894617463870023388e-01
4.000000000000000000e+00,1.379412032063416504e-01,1.543499027462214290e-01
5.000000000000000000e+00,9.927657245842463896e-02,1.203337482272935077e-01
6.000000000000000000e+00,7.385690656196262915e-02,1.112587486561879280e-01
7.000000000000000000e+00,5.856108218333861554e-02,8.298316086576397466e-02
8.000000000000000000e+00,4.541651957678304041e-02,6.672582625738573969e-02
9.000000000000000000e+00,3.521048620311664767e-02,5.097434861165613118e-02
1.000000000000000000e+01,2.751372469452866010e-02,4.076998224509704311e-02
1.100000000000000000e+01,2.164508145009473930e-02,3.523531498135793610e-02
1.200000000000000000e+01,1.770862868736184162e-02,2.878770047903219872e-02
1.300000000000000000e+01,1.479460217354283506e-02,2.639562511741707848e-02
1.400000000000000000e+01,1.291549904772527901e-02,2.106825960070451975e-02
1.500000000000000000e+01,1.158627148019120319e-02,2.006879729850574376e-02
1.600000000000000000e+01,1.057735289023191590e-02,2.105741422671998653e-02
1.700000000000000000e+01,1.013963847937561155e-02,1.706162976450827096e-02
1.800000000000000000e+01,9.058723223517441830e-03,1.568618127467168166e-02
1.900000000000000000e+01,8.574387801148017005e-03,1.411826408999275993e-02
2.000000000000000000e+01,8.094712876213747826e-03,1.380216348697728239e-02
2.100000000000000000e+01,7.700643287915087676e-03,1.495195064597462306e-02
2.200000000000000000e+01,7.394857630881433372e-03,1.244466599517416068e-02
2.300000000000000000e+01,7.079484833569936637e-03,1.182482847581704626e-02
2.400000000000000000e+01,6.862405153181587447e-03,1.172952385938623270e-02
2.500000000000000000e+01,6.630375304657672338e-03,1.085832476533388040e-02
2.600000000000000000e+01,6.417087028160193933e-03,1.081444741286756960e-02
2.700000000000000000e+01,6.239980589498581899e-03,1.020579443336026675e-02
2.800000000000000000e+01,6.100059700563762941e-03,1.004077238906620276e-02
2.900000000000000000e+01,6.021641138695025403e-03,9.655548394308243951e-03
3.000000000000000000e+01,5.762083850746153521e-03,9.392799970299695045e-03
3.100000000000000000e+01,5.697738702261979406e-03,9.777547942790593138e-03
3.200000000000000000e+01,5.535956495179577760e-03,8.329564568297590649e-03
3.300000000000000000e+01,5.496917969811530164e-03,9.520844009860657958e-03
3.400000000000000000e+01,5.325604287930546868e-03,7.857373288773771350e-03
3.500000000000000000e+01,5.126117909864627564e-03,8.197544255237085992e-03
3.600000000000000000e+01,5.051939265284444668e-03,7.684602990370239389e-03
3.700000000000000000e+01,4.950059448340226632e-03,7.452181647482204567e-03
3.800000000000000000e+01,4.830301345585148558e-03,7.354108664054516062e-03
3.900000000000000000e+01,4.704590074228985619e-03,7.203335057097937436e-03
4.000000000000000000e+01,4.592800207194853469e-03,6.958580274784279332e-03
4.100000000000000000e+01,4.523266943126477702e-03,6.902676913939822211e-03
4.200000000000000000e+01,4.434038427511155338e-03,6.953965833932961201e-03
4.300000000000000000e+01,4.363132038438356265e-03,6.733773304743101602e-03
4.400000000000000000e+01,4.276999342749900589e-03,6.688333508356470065e-03
4.500000000000000000e+01,4.161119836459074330e-03,6.522161076917008631e-03
4.600000000000000000e+01,4.111900932083319311e-03,6.475490564627414680e-03
4.700000000000000000e+01,4.133978939533720746e-03,6.053308895254009246e-03
4.800000000000000000e+01,4.024098857217140411e-03,6.124812398331793209e-03
4.900000000000000000e+01,3.924439287016820085e-03,5.867645831261058577e-03
5.000000000000000000e+01,3.881213621810238393e-03,6.514033988420005368e-03
5.100000000000000000e+01,3.769266514650558998e-03,5.565430698604431799e-03
5.200000000000000000e+01,3.671844992890215421e-03,5.396358002331598860e-03
5.300000000000000000e+01,3.614496371084423634e-03,5.505285781017853208e-03
5.400000000000000000e+01,3.528629465663016967e-03,5.457906689749478235e-03
5.500000000000000000e+01,3.427408592905825408e-03,5.085183733923669298e-03
5.600000000000000000e+01,3.329967136372895698e-03,5.164116159506767882e-03
5.700000000000000000e+01,3.347396077891346897e-03,5.405195653233495733e-03
5.800000000000000000e+01,3.248018915852533221e-03,4.852911643850618337e-03
5.900000000000000000e+01,3.140645173861499918e-03,4.946070689083962961e-03
6.000000000000000000e+01,3.116669807143395386e-03,4.972935699924667212e-03
6.100000000000000000e+01,3.044102553330194083e-03,4.924239613717423629e-03
6.200000000000000000e+01,2.996281926392934964e-03,4.650686971816184179e-03
6.300000000000000000e+01,2.939848322933571057e-03,4.463202130938669077e-03
6.400000000000000000e+01,2.878934526193925331e-03,4.499035698804712199e-03
6.500000000000000000e+01,2.805758970333623557e-03,4.260659119013137860e-03
6.600000000000000000e+01,2.731698368643792861e-03,4.498187784141511117e-03
6.700000000000000000e+01,2.663075177758091657e-03,4.461848442616715878e-03
6.800000000000000000e+01,2.625659405419002862e-03,3.957160957589824640e-03
6.900000000000000000e+01,2.590587439676437717e-03,3.934625270096731194e-03
7.000000000000000000e+01,2.636099921482620064e-03,3.839726512234238869e-03
7.100000000000000000e+01,2.496126829129887131e-03,3.760783177807520191e-03
7.200000000000000000e+01,2.396064554187450971e-03,3.877765154081134601e-03
7.300000000000000000e+01,2.335341499159236407e-03,4.014877169901337819e-03
