time_min,predicted_mab_mg_L,lower_90,upper_90
5020,162.9033187,162.5865304,163.220107
5040,164.1873109,163.8705227,164.5040992
5060,165.4759411,165.1591528,165.7927294
5080,166.7691895,166.4524012,167.0859778
5100,168.0670363,167.750248,168.3838246
5120,169.3694617,169.0526735,169.68625
5140,170.6764461,170.3596578,170.9932344
5160,171.9879696,171.6711813,172.3047578
5180,173.3040124,172.9872241,173.6208007
5200,174.6245549,174.3077666,174.9413432
5220,175.9495772,175.6327889,176.2663655
5240,177.2790596,176.9622713,177.5958479
5260,178.6129823,178.2961941,178.9297706
5280,179.9513256,179.6345374,180.2681139
5300,181.2940697,180.9772815,181.610858
5320,182.6411949,182.3244066,182.9579832
5340,183.9926813,183.6758931,184.3094696
5360,185.3485093,185.031721,185.6652976
5380,186.708659,186.3918707,187.0254473
5400,188.0731107,187.7563224,188.389899
5420,189.4418446,189.1250564,189.7586329
5440,190.8148411,190.4980528,191.1316293
5460,192.1920802,191.8752919,192.5088685
5480,193.5735423,193.256754,193.8903305
5500,194.9592075,194.6424192,195.2759958
5520,196.3490562,196.0322679,196.6658445
5540,197.7430686,197.4262803,198.0598569
5560,199.1412248,198.8244366,199.4580131
5580,200.5435053,200.226717,200.8602935
5600,201.94989,201.6331018,202.2666783
5620,203.3603594,203.0435712,203.6771477
5640,204.7748937,204.4581054,205.091682
5660,206.1934731,205.8766848,206.5102614
5680,207.6160778,207.2992895,207.932866
5700,209.042688,208.7258998,209.3594763
5720,210.4732841,210.1564958,210.7900724
5740,211.9078462,211.591058,212.2246345
5760,213.3463547,213.0295664,213.6631429
5780,214.7887896,214.4720013,215.1055779
5800,216.2351313,215.918343,216.5519196
5820,217.68536,217.3685717,218.0021483
5840,219.139456,218.8226677,219.4562443
5860,220.5973994,220.2806111,220.9141877
5880,222.0591706,221.7423823,222.3759589
5900,223.5247497,223.2079614,223.841538
5920,224.994117,224.6773287,225.3109053
5940,226.4672527,226.1504645,226.784041
5960,227.9441371,227.6273489,228.2609254
5980,229.4247505,229.1079622,229.7415387
6000,230.9090729,230.5922847,231.2258612
