time_min,simulator_reference_mab_mg_L
5.020000000000000000e+03,1.629030671159674171e+02
5.040000000000000000e+03,1.641867945680923526e+02
5.060000000000000000e+03,1.654751364985802127e+02
5.080000000000000000e+03,1.667680625454014489e+02
5.100000000000000000e+03,1.680655420115887466e+02
5.120000000000000000e+03,1.693675438695725859e+02
5.140000000000000000e+03,1.706740367655539501e+02
5.160000000000000000e+03,1.719849890239121066e+02
5.180000000000000000e+03,1.733003686516466360e+02
5.200000000000000000e+03,1.746201433428514065e+02
5.220000000000000000e+03,1.759442804832196146e+02
5.240000000000000000e+03,1.772727471545781270e+02
5.260000000000000000e+03,1.786055101394494784e+02
5.280000000000000000e+03,1.799425359256403283e+02
5.300000000000000000e+03,1.812837907108547029e+02
5.320000000000000000e+03,1.826292404073304283e+02
5.340000000000000000e+03,1.839788506464977047e+02
5.360000000000000000e+03,1.853325867836578311e+02
5.380000000000000000e+03,1.866904139026810014e+02
5.400000000000000000e+03,1.880522968207216081e+02
5.420000000000000000e+03,1.894182000929498031e+02
5.440000000000000000e+03,1.907880880172973548e+02
5.460000000000000000e+03,1.921619246392173181e+02
5.480000000000000000e+03,1.935396737564551017e+02
5.500000000000000000e+03,1.949212989238303919e+02
5.520000000000000000e+03,1.963067634580282004e+02
5.540000000000000000e+03,1.976960304423976709e+02
5.560000000000000000e+03,1.990890627317574229e+02
5.580000000000000000e+03,2.004858229572060679e+02
5.600000000000000000e+03,2.018862735309367054e+02
5.620000000000000000e+03,2.032903766510539469e+02
5.640000000000000000e+03,2.046980943063923633e+02
5.660000000000000000e+03,2.061093882813350717e+02
5.680000000000000000e+03,2.075242201606310175e+02
5.700000000000000000e+03,2.089425513342103216e+02
5.720000000000000000e+03,2.103643430019955360e+02
5.740000000000000000e+03,2.117895561787088923e+02
5.760000000000000000e+03,2.132181516986730969e+02
5.780000000000000000e+03,2.146500902206055343e+02
5.800000000000000000e+03,2.160853322324041415e+02
5.820000000000000000e+03,2.175238380559242728e+02
5.840000000000000000e+03,2.189655678517451349e+02
5.860000000000000000e+03,2.204104816239249089e+02
5.880000000000000000e+03,2.218585392247435095e+02
5.900000000000000000e+03,2.233097003594320142e+02
5.920000000000000000e+03,2.247639245908875409e+02
5.940000000000000000e+03,2.262211713443727774e+02
5.960000000000000000e+03,2.276813999121992254e+02
5.980000000000000000e+03,2.291445694583930788e+02
6.000000000000000000e+03,2.306106390233429408e+02
